,content,score
0,小米插座跟公牛不是同个等级的,1
1,一分给京东 负五分给小米插座,1
2,京东京豆给的越来越少，条件越来越苛刻了。,1
3,京东京豆给的越来越少，条件越来越苛刻了。,1
4,京东京豆给的越来越少，条件越来越苛刻了。,1
5,东西下午测试一下再说，这面板上黄色的东西是什么？,1
6,自提点的店员态度恶劣,1
7,以后还是找发顺丰的商家。,1
8,送货上门送货上门送货上门,1
9,京东客服态度令人发指,1
10,再也不会相信小米 这个品牌了,1
11,用料之差白瞎我的信任,1
12,东西不错 物流真的无力吐槽,1
13,我以为是智能的，原来不是,1
14,物流给力 东西二手货 别人用过,1
15,插手太紧几乎插不多进去,1
16,回家试了一下，直接跳闸,1
17,好不好不知道，包装首先给一星！,1
18,大家检查一下，看看有没有地线，偷工减料到这个地步，也是没谁了,1
19,这包装应该是二手的吧,1
20,公牛比较好   应该是好的多,1
21,刚拿到货的包装  你们三思,1
22,看图吧，不多说了,1
23,热啊打怕热打算萨迪发撒热带,1
24,快递跟坨湿一样，劣质服务！,1
25,和老KUSO呕吐鞋兔兔窝,1
26,再次买到京东*货！,1
27,不知道会不会漏电,1
28,用后评价：不喜欢。,1
29,价格比实体店还贵,1
30,我就不说什么了,1
31,体验不是特别好，,1
32,一星没得解释啊,1
33,用了一个多月，炸了,1
34,大家最好不要买,1
35,把我的小米充电宝充爆炸了,1
36,含酒精，喷完杀疼杀疼的。,1
37,特别廉价的感觉，开关还晃荡那,1
38,很好用，不过物流居然发错坑人,1
39,呵呵&hellip; 反正最后我是退款了,1
40,品控堪忧，勉强能用,1
41,洗个衣服跳闸好几次,1
42,它竟然炸了，吓死人咯，,1
43,请不要相信京东,1
44,开关很松动，感觉很廉价,1
45,电源开关很松动,1
46,圆刚采集卡就是好！,1
47,收到货发现是这样的，看图吧不想多说。,1
48,还快充呢   五个小时充满,1
49,别人用过的吧？这线还脏着呢。,1
50,不知道送货人员到底懂不懂湛江这里的地方,1
51,今年的第一个差评。,1
52,圆刚采集卡就是好！,1
53,圆刚采集卡就是好！,1
54,实在不想给好评,1
55,感觉还是应该买专业做插座的,1
56,你看看这个包装,1
57,一般  一般   建议再看看其他牌子,1
58,一颗星都嫌多了,1
59,保价的手机买到手就亏了*还就补了190的购物券,1
60,确定是全新的吗？,1
61,为外包配送打一星～这和**有什么区别？,1
62,什么情况自己看视频,1
63,旧的当新的发货,1
64,电源开关是松的,1
65,用一下就会发热,1
66,非常实用，很不错，希望大家购买,1
67,包装撕开过。应该是二手。#,1
68,京东随意改运费，以后绝对不续plus了。,1
69,赠品就是赠品开关好像错位一样,1
70,好插排，发用过的给我这么脏一次就好,1
71,这个应该是二手的吧，大家能看出来吗,1
72,有很可怕的电流音，别买！,1
73,二手已拆封过，着急用所以懒得计较了,1
74,"初相遇
在最初的相遇里
我并不知道
我要交付出的
是我的一生
整座城市的灯火。
仿佛都为我们点燃
如灿烂的银河
架起了鹊桥
只等你 向我走进  

By：如斯2017-12-31-23:30",1
75,新增了图片滤镜哦？烦不烦非要评价,1
76,插上电真的吱吱吱吱的想、好害怕,1
77,真的好粗糙。。。感觉挺劣质的。。。,1
78,好用，电子类产品一如往常有保障,1
79,京东服务已经不如从前了，我也该换换对你们的信任。,1
80,看着比较劣质，尤其是这个开关,1
81,非常信任京东，挺好的，有了京东生活都方便了很多,1
82,**京东 **斐讯 还我血汗钱,1
83,不值得，用usb给手机充电还滋滋滋的响,1
84,这是在打自己的脸吗？？啪啪啪？,1
85,希望不会质保一过就坏掉#,1
86,第一个孔位太紧了。三头和2头的都紧。,1
87,还行吧。。品质差不多。。价格合适。。。,1
88,使用普通美的电热水器煲个水跳闸十几次，有毒,1
89,先不说这个买手机送的，第一次买小米手机，10天不到降价500,1
90,京东呵呵 京享值  呵呵,1
91,电流声比我显卡啸叫还大&hellip;&hellip;&hellip;&hellip;,1
92,用过了再来评价。3个数据插口己无法充电了??,1
93,用过做工最差的排插。,1
94,二手的，上面无数划痕和油渍，不信的可以买来试试,1
95,已经开始虚了断电的情况下插着手机一会一充电,1
96,二手 包装压损 插排有划痕 东西还可以,1
97,"送貨師傅長得很帥,是我喜歡的類型~!",1
98,京东物流以前很快，想第二天一早收到货的才选京东，商品贵点无所谓，现在看来呵呵,1
99,很可以，全是使用痕迹。一分都不想给。,1
100,发烫,1
101,先升价再打折，高仿的,1
102,双十一快递的质量？还没使用,1
103,小米就是渣,1
104,一般,1
105,不错，可以的，推荐购买,1
106,不好等我。,1
107,不想说。。。。,1
108,京东在逗我啊,1
109,就是不爽,1
110,对京东失望了,1
111,跟@的一样。做工残次,1
112,特别紧 难用,1
113,唤醒,1
114,哦尼H游戏哦,1
115,usb孔有问题,1
116,*果然名不虚传,1
117,使用过的,1
118,LJ京东,1
119,还好啦,1
120,不划算&hellip;&hellip;,1
121,送货特曼！,1
122,最差购物体验,1
123,太紧,1
124,Usb充电会有很大的电流声 客服也没有给很好的解决,1
125,又是二手的插板那个脏，试了下还能用，凑活着用,1
126,还没用,1
127,爆炸了！,1
128,一般般,1
129,新的USB口就不管用，,1
130,。,1
131,还可以,1
132,乐色！,1
133,讨厌小米,1
134,还行,1
135,一般,1
136,破玩意,1
137,辣，鸡,1
138,真心一般般，言过其实,1
139,用一段时间usb口会失灵,1
140,凑合,1
141,很一般,1
142,像是二手的,1
143,赶紧假的,1
144,一般般,1
145,才一米 我晕,1
146,坏东西,1
147,按键很松！！！,1
148,#的京东！有问题不认错，以后我的所有的评价都必须一星！,1
149,都湿了,1
150,我就说一句，**旗舰店便宜10块，买的满150还是上**旗舰店吧,1
151,我也不知道写啥了全是敏感信息，到底是谁敏感？好评都不让评价？,1
152,差评习惯了，东西不错,1
153,别买,1
154,"下单为了方便使用特意看了当天送达！结果隔天送.....
耽误自己的事",1
155,一般般，,1
156,线短了,1
157,***,1
158,***,1
159,挺好,1
160,usb充电严重发热,1
161,开关是松的,1
162,**,1
163,原以为开关松的就是那样，后来它滋滋想，才知道是瑕疵,1
164,@！,1
165,废品一个,1
166,完美京东服务,1
167,竟然会跳闸，没公牛好,1
168,开关特别松。,1
169,电源键太松了。总的来看还行，不知道有没有人用过。,1
170,煮个开水都跳,1
171,丢了，爽,1
172,包装给一颗星，京东卖的二手货吗？这包装一看就是别人用过的。还能信赖京东吗？心好累，物流师傅态度特别好，给满分。,1
173,"用了一天晚上笔记本电源适配器就烧了,我可以说脏话吗",1
174,前一次买的不错！这次来的usp都是坏的！**！客服叫我自己电话联系！这是京东！物流是快！做物流做电商！服务就是物流的服务！,1
175,10分啊，超级好用，插头不松且结实，是好货,1
176,物流配送都送错了，还敢说签收过。折腾我75岁的老爷子一整天，到处查，到晚上才知道送错地方了。,1
177,龟速物流，等了六七天才到，还他么说隔天就能到，吃屎去吧奶茶,1
178,二东暴力快递,1
179,使了没几天就烧了偶的手机充电器和充电宝加线，够可以的,1
180,开关松动,1
181,小米的产品不错，可是京东你能不能走点心，撕了再给我送来呢。。。这个看的让人心烦不,1
182,防触电做的没问题，但我用了出现短路情况，请核实！,1
183,比官网和旗舰店贵了十块钱，也是我大意，京东你也是可以，够坑的,1
184,插座里面有吃过的糖果纸，你觉得我该说些什么？？。。。。,1
185,配送员配送的时候能不能先电话通知一下。直接往门口一放，害得我东西什么时候到的都不知道，当我知道到了的时候已经被收了！！！,1
186,觉得没有公牛的插座好用，苹果充电器插上充电热到爆炸,1
187,京东的服务和他的股价一样，一泻千里，1分是最低的，不然我会选择0分，一个支持多年的老客户绝望了。,1
188,中间插口无法插入，真的是要命，亏我这么喜欢小米的产品，心寒。,1
189,好贵11111111,1
190,不喜欢系统默认好评，只好先给个差评了。功能很强大，性价比较高49&hellip;&hellip;,1
191,"居然是2017年3月产的，现在是2018年8月8日
不知道过期了吃了会不会闹肚子，虽然是5米版的也不至于无人问津到库存1年吧！",1
192,不知道是个例还是怎么样的，我们的戴尔笔记本插在这个插线板上报错。换个插线板就没得事,1
193,买过一个第一代非常好，这个线质硬，插座松，没有第一代好,1
194,"USB充电口就和闹着玩一样 谁用谁知道
配套小米手机绝对帅，其他任何都会拒之门外",1
195,给这个评价主要是买的时候显示9号到，结果10号才送到，我本来打算买了带走的，现在好了要重新买了。,1
196,也就那样，买了很多小米，可一直喜欢不起来，总觉得，这个公司跟你精打细算,1
