,content,score
0,迷信爱情观察员工作室内外兼修,1
1,沙币吧！京东配送就是恼惨,1
2,不给豆还得评价。。,1
3,快递员让自己去拿,1
4,吹得好没有做得好,1
5,买的时候48.8，现在36.8，#,1
6,买的时候48.8，现在36.8，#,1
7,暂时还没有什么问题存在，,1
8,不知道好不好用呢,1
9,这有1米8，多的是我吃了？撑死1米3,1
10,京东自己修改订单详情。越来越无耻。,1
11,东西不错，物流挺不讲信誉的，很差劲,1
12,京东服务需改善,1
13,还可以不错有一定性价比，比某米插的爽,1
14,一打开就看见插头是压扁的。,1
15,勾结~榨片，还我血汗钱,1
16,49买的，一看现在的价格，感觉真是棒棒哒,1
17,对向的两插孔太近会挡住,1
18,虎#价格，直接腰斩，定价完全看心情,1
19,把我家电路烧了，才用一两个月。,1
20,把我家电路烧了，才用一两个月。,1
21,还没用，质感不想飞利浦的品质！,1
22,还没用，质感不想飞利浦的品质！,1
23,感谢京东，让我用新产品的价格，享受二手货的服务！,1
24,优惠价买的大部分是 二  手 ？？？&hellip;&hellip;,1
25,双11我以为捡便宜了。翻了以前的买的同款65元，双11那天99元,1
26,买了三个三米的 结果寄来 两个三米和一个一米八的,1
27,东西还可以，一星差评送给京东自营的服务态度,1
28,这个是一米八的线吗？老板只会算钱不会算数。,1
29,这个排插，质量可以，线的长度也可以，,1
30,评价个鸡儿，根本没收到，电话也没一个，就知道放物业,1
31,双十一是89满199减100 现在变58了....一星好评,1
32,其他都凑合哇，但是这1.8米我就不信你了！,1
33,抬价再打折！老把戏！,1
34,带个2000W的电陶炉都负载,1
35,给力,1
36,好,1
37,东西不错，相对送货速度还好，但未在京东承诺的时间送到，这是本月第二次出现此类情况。,1
38,很不错&hellip;&hellip;&hellip;&hellip;&hellip;很好&hellip;&hellip;,1
39,并排无法用,1
40,有个开关已坏,1
41,好评,1
42,是因为自己是,1
43,京东窝牛物流！,1
44,比实体店还贵,1
45,我没收到货,1
46,好评,1
47,用料薄、重量轻,1
48,两月就烧了。。。,1
49,**骗人,1
50,无语。,1
51,**,1
52,这#设计,1
53,全长才3米，真省。,1
54,通电后直接将路由器的开关电源适配器烧了，赔吧,1
55,*,1
56,这些东西就用一个京东的袋子装着，很担心插座的质量问题。检查过后再来评价。,1
57,购买的产品未拆封京东拒绝退换，即刻起卸载京东，并发动身边亲朋好友抵制京东！虽然杯水车薪，但我相信星星之火可以燎原！,1
58,代工的，没仔细看说明，不知道说明里面写明没有。,1
59,买过几次飞利浦的东西，对这个牌子彻底失望，一起买了公牛的这种插座，公牛比它强的太多了！,1
60,插排间距小的要命，不要买这个。10个头的插排最多插5个,1
61,这个挺搞笑的  开关再插座前面  很多插头会抵住开关！！,1
62,宣传是1mm平方的 收到的是0.7平方的,1
63,看图说话，不想多说了,1
64,商品还不错，京东太让人气愤，凡是有抢购字样的商品，下单都是很抱歉，抢购失败，购物体验糟糕透顶,1
65,东西收到了，看着还行，但大冬天的又是槊料产品就用个口袋包装？？？还没用也不知道是否里面零部件有摔裂！,1
66,东西收到了，看着还行，但大冬天的又是槊料产品就用个口袋包装？？？还没用也不知道是否里面零部件有摔裂！,1
67,承诺时间11月17日送不到就不要瞎承诺，到了晚上7点还说会在规定时间送达，那我就在家傻等着吧，因为第二天早上要用，结果呢&hellip;&hellip;第二天下午才tm送。别拿双十一说事，知道双十一可以承诺两天送到啊，我就不买了对吧，你承诺了晚上送到我才下的单，到了晚上你还显示可以送达，真混！,1
68,刚到手一插电全楼熄电不知道是我牛#还是插座牛#反正以为是惊喜给我来个惊吓,1
69,插座外观还可以，质量要用一段时间才知道。我是冲着飞利浦牌子去的，但是看了生产商，这是不是真正的飞利浦，求解释,1
70,之所以一星，在于全长1.8米。实际测量，是排插与线的总长，而非线长。你可以玩文字游戏，俺也可以打一星。,1
71,什么鬼，1.2米线不能再多了,1
72,32买的，刚买完就变29.9，是要闹哪样呀_(&acute;?`」,1
73,买了才两天，就降了20元，心里真不爽！也没有保价。,1
74,！重要的事说三遍！刚买回来两天开关就坏了！什么东西！,1
75,刚买一个月，变这个样子，不想说什么,1
76,这个插孔这么小，怎么插得进去。,1
77,东西不错 但是快递不送上门。,1
78,刚买回来就掉价了  几个意思啊？,1
79,@一定不要买。我已经上当了,1
80,买的两件，只收到一件，请查验,1
81,一般，不像大品牌,1
82,我要的发票在哪里？,1
83,坏的，最近京东怎么回事，图快图省事才买的京东，3天内，一个冰箱，一个插线板，一个椅子都是坏的，是逗我呢么。,1
84,质量一般 觉得京东越来越差,1
85,严重漏电，没法用！,1
86,快递在门卫不见了,1
87,我要发票为什么没有,1
88,线路不够一米八,1
89,一星是给商品的，派件员态度不好,1
90,京东售后服务奇差，不敢在京东买东西了,1
91,插头一插上就打火根本就没发用,1
92,侧面的按钮无法使用,1
93,产品不错。就是包装上的胶味太大了&hellip;&hellip;,1
94,前天能到货昨天才到,1
95,一买了2天就降了10块，黑店吗？,1
96,没买几天就降价，坑,1
97,要的发票没给开报不了销，不应该啊,1
98,收货当天降价8块，价保只申请成功2块。,1
99,京东没电话客服,1
100,这次买的没有指示灯，收到的货与图片不符。,1
101,尺寸不够，价格不稳，不喜欢撒谎的人,1
102,一样有干扰信号出现，不好用,1
103,这是1米8的吗？@吧，短得要死,1
104,刚买还没到手就降了二十多，我也是醉了，也不保价,1
105,塑料件粗糙，比公牛的做工差,1
106,这货还不知道在哪里。。。。不过后来补发给我了。,1
107,比公牛贵，厂家是广州，不是飞利蒲公司，是代工？,1
108,好差劲的服务，我都没收到货，怎么显示购物完成了呢？！,1
109,用了不到两月，坏了，建议还是到实体店购买,1
110,设计不科学，开关距离插口太近，,1
111,是包装的问题，还是快递的问题？,1
112,最后一个开关不可以用，没显示！,1
113,私自扣买家钱，客服不解决问题，吃枣药丸,1
114,买的二手商品，已拆，电源按钮磨损厉害。,1
115,东西不好，包装坏的，里面的东西边边上也坏了,1
116,太大了，不好，没有公牛的好,1
117,这个插排不够2500w，每天都跳闸也是醉了。,1
118,少了一个 感觉安全有问题。,1
119,这叫什么间距，对面二孔插座啥都插不进去,1
120,一般般 下次不会考虑了。还不如买公牛的,1
121,发票问题，弄得我怀疑人生了。建议大家买直接开增值发票。,1
122,商品描述不一样，线长没有1.8米,1
123,袋子都在地上磨破了，插板有一个角也磨坏了,1
124,一个星都不想给刚买了，就降价了，差，差，差&hellip;&hellip;,1
125,我想问一下，请问这两个产品是一样的吗？一个是有独立分控，一个只有一个总开关？,1
126,里面包装袋直接破损！,1
127,差，差，所有东西都放在一起，弄的乱七八糟,1
128,客服人员态度不好?,1
129,买了几个，这个坏了，插电没反应。我想知道怎么售后,1
130,开关居然控制不了，关了还有电，我擦,1
131,没有送货上门且不说，打快递员电话还不接！咨询客服也不回,1
132,"拆开发现是这样的...
销售二手商品连擦都不擦？",1
133,订单是写的自提点自提，投递没给我投自提，搞得按普通代收快递收保管费！,1
134,京东就是价格贵！东西也不行，有毛刺！刺手,1
135,用了一天，开关就坏了，就这质量？,1
136,为毛漫步者A200插不进，还以为是一体成实心的了,1
137,做工越来越差，价钱却不降反升，迟点上图！,1
138,东西还没用，就是快递太慢了，错过了用他的时候,1
139,这次买的货与图片不符，没有指示灯。怎么回事？,1
140,京东#，一号店此款*元。他能赚10元！真#,1
141,开关设计不合理，路由器插头直接卡住了,1
142,按钮会妨碍插座插下的 完全没有设计头脑,1
143,收到第二天，电源指示灯就闪几十秒灭了，呵呵,1
144,海尔热水器的三头插头居然和这个不能插。我想给0分,1
145,都是满减，199-100。但昨天又每款都降价，说好的价保双十一呢，我也是醉了,1
146,还行，就是快递费贵！！！！,1
147,线板还可以，就是线有点短，不足1.8米,1
148,用了几天就坏了，联系京东维修通知我包装丢掉了就不能维修了！,1
149,请问有没有三米，请问有没有三米，请问有没有三米，请问有没有三米。,1
150,不好！,1
151,快递差劲！,1
152,插孔还是少,1
153,质量不怎么样,1
154,360儿童机器人质量有问题，退换货慢的一比，搞的火冒三丈。。,1
155,不喜欢,1
156,不好,1
157,用2个月漏电  焦味,1
158,不理想,1
159,货不行,1
160,不好,1
161,独立开关和iPad充电器有干涉，开关不能完全弹起,1
162,买回来就是烂的，服了,1
163,线没有1.8米,1
164,都是满减，199-100。但昨天又每款都降价，说好的价保双十一呢，我也是醉了,1
165,8个都是浪费 设计的位置也不够，我还得再买一个！郁闷,1
166,哪里有1.8米啊！最多才1.65米。发票呢？从来都没有看到京东的发票！,1
167,包装袋都磨坏了，差点都磨到插板，现在感觉京东都没以前那么尽心了,1
168,插口间距小，大插头插上去直接占掉两个位置,1
169,表面看做工和用料不如公牛，打开包装袋一股刺鼻的味道,1
170,做工越来越差！有划手边角！电木塑料上还有不少划痕。,1
171,暴力运输外观有磨损我是急着用不想换，真的是,1
172,东西是好东西，买了好几个了，不过买的时候显示有赠品也没给送，虽然不值钱，但也涉嫌欺诈,1
173,插座那里居然是有坡度的，插头插上去可以摇动的！别买,1
174,京东啊京东，页面上商品显示现货的东西，去问客服怎么还不到才知道没现货需要一周才能到。凑单的东西到了有毛用啊！我要这plus会员，有何用！,1
175,以为全是防护的 有一个插头是不防护的 为什么不都弄上,1
176,买来一个多月 每个周用两三次 每次用不超过十分钟,1
177,才发现两个孔不能用&hellip;&hellip;,1
178,我就想问，我的排插到底去哪了？没派送也和我说已签收？？？客服连核重量这种简单行为都不懂？,1
179,我就想问，我的排插到底去哪了？没派送也和我说已签收？？？客服连核重量这种简单行为都不懂？,1
180,跟水货一样，连个盒都没有，灯也是坏的，第一次买，伤心,1
181,感觉做工一般，带有一阵怪味，是用**塑料做的么？,1
182,这不只两次反映你们京东物流的包装简陋 保护商品做的不够好 买了这么多商品就这样打包送过来,1
183,这才用几个月，外面一直流油，外表翘壳，这质量怎么放心。,1
184,不知道飞利浦怎么想的。没有固定电线的东西，每次打开全部散开重新绕,1
185,快递分拣比较暴力，插座边角已经磨损，不影响使用就懒得退了！,1
186,这开关位置真到位，设计这种产品的人不带脑子吗,1
187,怪我没问清楚规格，这货的线芯居然只有1平方。不如路边20元钱的东西。这个不该买,1
188,商家说的三米的线板，量了连头加一起才270，跟我同事买的三米的，短了一截！,1
189,用了2天开关就出问题，应该是设计缺陷，后来左右一直开关就好了&hellip;&hellip;,1
190,插线板不太好，估计是贴牌产品，线长也不够3米，测一下只有2.7左右,1
191,插孔插进插头需要榔头敲入，太难受了，进去就拔不出来。,1
192,发货快，可惜物流从京东快递转邮政快递，并且没有快递信息，没人分拣快递，没人派件，自己找回来的,1
193,寝室用的 只能用一边插头 另外一边用不了 因为充电头的问题,1
194,飞利浦就是个笑话！不是黑！是真的设计缺陷！看图！,1
195,不值这个价,1
196,品牌虽好，但是插座领域确实不如公牛，买他的原因是公牛黑色款的线是3米，太长没有用，只有飞利浦有1.8米的，结果去年买的时候就因为质量问题换过一次，今年又是这种情况，很郁闷~,1
197,失望啊！磕伤2处，但是急用，没有时间换了，同城发货，发了3天,1
198,物流没有包装，一个插排外观有瑕疵，都还没打开用，里面坏不坏还不知道,1
199,孔不好插电源?，两个线头?接上后，重，这个一转二容易掉。,1
200,大家看看，这什么包装，啥都没有，那么远送来，你们也不怕坏了，用个纸箱加点空气袋会死啊。,1
201,这可能设计智障产品，这样插上后，不知道怎么去按独立开关,1
202,线长虚标，带插座才3米，使用不便。还要买延长线感觉又不安全。,1
203,设计不合理，有好几个插头和开关会打架&hellip;&hellip;我也是醉了，只要插上插头开关被迫就被按下去了,1
204,建议大家不要买这个排插了。这个排插我用了一段时间他是有漏电的。导致着火。还是买质量好的吧。,1
205,郁闷，大过年买个插板都是坏的，应该是运输过程中压坏了。拆了包装不知道能不能换？,1
206,排插设计不合理。插头插上去，直接盖住分离开关，分隔开关变鸡肋，根本没法用,1
207,第一个送来就是坏的，不知道飞利浦是如何验收合格的，换了一个能用，但肯定是用过的，拖线板一个角还有甩过变形的痕迹，前后两个都是原封的，所以京东上搞活动时的便宜货真的水很深，不能轻易就买。但京东快递确实不错，送货及换货速度很快。,1
208,右上角蓝色开关按钮用了不到50次，就出现有时无法弹起来，无法断电，对比以前买的公牛的插板，质量差多了。,1
209,"没打开包装就发现有污迹还有接口处瑕疵
联系客服就让申请售后 
麻烦死了 也就这样 用着吧",1
210,冲着牌子来的，结果质量有问题。坏的一边完全不通电了...还要弄售后，耽误时间和精力。还耽误我使用。,1
211,尽然是飞利浦的为什么包装上没有飞利浦这三个字？为什么？回答我？不会是冒牌的吧？我一下买了3件。,1
212,设计缺陷 没有考虑大插头的问题 测试过小米路由器电源头和公牛双USB插头都会压住前面的独立开关 这个独立开关形同虚设 大插头的亲们谨慎购买,1
213,这个开关设计。。三个长的充电头根本没有办法插在这个插板上。虽然插口有6个但是如果遇见长的充电头的话利用率还不如我公牛那个一排的。,1
214,现在京东怎么搞的，发票老是用电子发票，我自己还要打印出来，你是方便了，节约了，我们顾客呢！？不好，不好，不满鬼不满意,1
215,质量没得说，买的时候没仔细看，**设计师，插不了几个插头。干嘛弄得两拍插孔都靠里面。服了，包装撕开了，也没法退了,1
216,排插质量没有问题，做工也不错，问题是连个挂钩都没有，这什么设计，要挂在墙上使用还要再去买双面胶，这不是折腾耽误时间吗（没有挂钩，提醒一下后面的人）,1
217,这次买了四个飞利浦的电源插板，这个型号SPS3421C/93的价格最低，但感觉是由于某种原因拆开过又重新包装后再出售的产品，其它三个都有保修卡，唯独这个没有保修卡。且外包装与1.8米的同类产品包装相比，短了一截。好像是在原包装剪掉后又重新封上的。现不知在使用过程中是否还有质量问题。如有质量问题，没有保修卡如何办理保修。,1
218,包装破了一个洞(里面装插线板的包装，不是外包装);烤漆工艺一般，不粗糙也不精致;过载开关松得很，摇起还有响声。现在自营店的东东也不那么让人放心了。将就用吧。,1
219,质量撇，第一次用就没电，接了几个插座才断定接线板有问题，拆开一看，开关焊接已掉。真没想到，所谓大品牌就是这种设计。再也不迷信PHILIPS了，可惜放了一个多月才用，没法退货了。,1
220,好臭的塑料味，劣质塑料材质，与大名不符，不过里面的铜据说不错。包装简陋，没有防摔的保护。,1
221,就是看中防浪涌买的，结果到手包装上根本没有提到，只有防雷电阻。额头跟黑色的比短了一大截。总感觉少点什么。我没心思研究插排究竟是什么技术，噱头不噱头，但是选择的时候普通插排一个价，防雷一个价，抗浪涌一个价，收到实物少三个字我感觉它的价值低了一半。就这样吧，当普通的用。,1
