,content,score
0,"不错 大品牌 
包装都狠高大上 用公牛很放心 毕竟是电 安全第一 
做工精细 用料也很好 没有异味 
看着颜值也很高啊 哈哈",5
1,是正品，做工和质量都很好，很满意，防儿童触碰设计，满意，京东物流就是快，包装完整满意，自己已经接上用了，目前用着很好,5
2,送货速度快，今天已经装上了，已经用了，是新款的，特别好，比实体店里便宜多了，公牛的东西大品牌，值得信赖，质量特别棒，之前也一直用公牛的，这个质量没得说，品牌也没得说，也会一直在用公牛的，公牛的东西耐用，不爱坏，没说的?好评好评。,5
3,公牛插座一直口碑不错，家里一直都用公牛插座，而且公牛插座也跟上时代，特设单独开关，这个设计非常好，不用的开关可以直接关闭电源，不浪费电，环保??,5
4,公牛的品质，看起来很不错，很有质感，带防触电，等抽空了安装起来。,5
5,公牛的插排，做工相当不错，用起来比较放心，材质和形状，都比较喜欢，大气、简约、美观，关键是安全方面比较有保障，买了很多插排，都是选择公牛,5
6,连接的都是大功率电器，油烟机，冰箱，微波炉，之后会加上电热壶和电饭锅或者煎蛋锅这样子的，特意挑了公牛的，别的怕扛不住，而且我觉得这个五控设置的特别好，怕电压太大可以一按就关掉暂时不用的，用的时候再开启，觉得特方便，目前就这样，就看之后的质量了应该可以的,5
7,一次买了两个，比较便宜，因为家里有线跟插头，所以买无线的，主要看中质量，之前买的杂牌插排，都烧了很危险，这牌子质量不用说，口碑杠杠滴防护也很周到,5
8,很好，看着就结实很好，看着很好，看着就结实结实很好，看着就结实很好，看着就结实,5
9,自己动手更换，防伪已查，公牛做工就棒，刚好俩电动车充电，够用，链接只能插座定时充电不过充，完美解决,5
10,质量ok，带保护不用担心小孩手插里，白色耐脏，孔位间距大，可以一下插3个手机充电器，木有声音，感觉很不错，线也够长。,5
11,比我想象中的好，线很长，做工也很扎实，一看就感觉是大厂出品，个人觉得，独立开关很实用，连接每个电器的时候也很方便开关，强烈推荐大家可以的！,5
12,公牛插座，摔不烂，质量是杠杠的，不止一次买了，安全放心也不贵，上手也很有重量哦，推荐购买。,5
13,被颜值吸引，背面要是也是白色就更好了，为啥要做成灰色捏~分控的很方便，还自带挡板防止小朋友手指伸进去触电，挺好！买好几个公牛插排了，都挺好用。公牛的比以前好看了不少~52.7和58.6各入手一个。前几天买的好像有啥活动所以价差几元。,5
14,公牛插板很好，排名世界第一，线没有1.8米和插板才有1.8米。线不和插板才有1.6。。。。。。。。。。。。公牛很安全，我都10多年。,5
15,公牛的质量不用说了，家里的插线板都是公牛的，懒得打字用的模板不要介意 以前几乎都没有认真评价过， 不知道浪费了多少积分。听说评价超过一百个字有送积分，基本上每个 星期都会光顾，统一评论，购物实在是太方便了根本停不下来从此后 买 生活用品第一个想到现在的就是京东，都是正 品，一 开 始 还 担心，都习惯了，真心不错的，现在还要多多给优惠呦，下次 还 会 再 来 的，,5
16,很好用，很漂亮，四个控制按钮，很方便，以后插头不用拔掉了，直接开关控制，高大上哦,5
17,很满意的一款插排，每个插孔都有独立的开关控制，插孔之间的距离大小合适 不会相互碍事，用起来很方便，很满意，好评！有需要还来！,5
18,公牛插座，挺好的，两个优惠买50相对还是划算，最喜欢公牛这个因为线很软不容易折损，质感很好，味道刚打开有一点，然后就没有了，有需要还会再买的,5
19,嗯，公牛插座真的是非常的好，国内的知名品牌，应该说是第一品牌的，质量真是没的说，用料扎实，用着放心，真的非常的好，我一直用公牛的插座，以后还会继续。,5
20,质量很好，看着摸着都很舒服，很有质感，带一个家用小电暖气(2400w)没有问题，插头地方几乎没啥热感,5
21,红牛在排插里是有名的，质量很好，外壳塑料材料厚实，电线很长，可以延长很长的距离，非常实用，每个插位都有独立的开关，如果我想关掉某一设备的话，就非常方便了，里面的做工没拆开来看，但是整个排插手感挺沉的，用料应该也很好！！！！,5
22,物流很快，公牛的插线板安全值得信赖，美观大方，插孔设计合理，二相和三相不会特别挡，质量也相当可以，我相信公牛，这是一次不错的购物体验,5
23,给公司购买的，所有的插排都是这家的，安全最重要，质量也很好，外观简洁大方，最关键是，看到了外观就感觉很结实，很安全，不用担心安全隐患问题，家里用的也是这一款，只是长度不同，总之我觉得，贵点没关系，安全最重要,5
24,公牛的插座很好用的，一直用的都是公牛的插座，也很喜欢公牛其他的东西，品质也很好,5
25,"看起来很不错，期待使用！
设计简洁，没有多余的东西，干净好看，新潮时尚。
自己在宜家随便买的插座板可以退休了，希望公牛的能好用很多年。???????",5
26,公牛，品质保证，线材够粗，插头看着就挺结实，独立分控，方便单独开关，插电试了一下，每个插位都有电，插拔力度刚刚好，分控开关按着也很舒服,5
27,商品很不错，很满足我的期待。一次很开心的购物，店家发货很快。一次愉快的购物体验，期待下次购物，商品质量很不错，包装很好。,5
28,包装很好，产品看上去也很结实，纯白简洁设计更加有时尚感。带出国用的，家里一直用公牛的产品，相信质量棒棒哒！刚发现，每个插孔里面都有保护层，手指伸不进去，非常好！,5
29,以前基本没有认真评价过，不知道浪费了多少积分，这个福利真的不错，妥妥每次都写一百多字，这是是第N次在京东上买东西了，棒棒棒，好厉害好东西便宜而且质量好物美价廉，买的放厉害心，用的开心感觉都买上瘾了，买买买，根本停不下来，西品种多而且又特别全，划算，方便，而且实惠，包装很好，而且没有任何损坏，会－直支持下去的，服务还可以。这是一个好评模板，因为本仙女很懒，不想每个产品都写好评，所以特地模仿ー－位网友写下这个模板，但但是这个产品无论是质量还是外形肯定都是仙女喜欢的，如果不喜欢的话，仙女收到东西会很生气，然后这个模板就会变成仙女喋喋不体的抱怨书，自然不可能撒下这个好评，这里写下，也给各位~一个参考，这个物品还是值得购买的。来自一条懒惰的只爱购物不爱写评语却想换积分的~,5
30,购买之前还在考虑是五位还是六位好，一怒之下买了六位的，果然实践检验真理，果然六位最合适我目前的使用情况。插排的防止儿童拿手插进去很有用，可以防止发生意外，每个分控也跟给力。,5
31,之前的插线板太旧了，为了安全把家里所有的都换了。公牛大品牌，值得信赖。款式简单大方，用料厚实。白色的百搭，和装修风格不冲突。独立开关也很方便。长度上要是能有更短的就好了，比如0.5米 1米之类的，挑选起来更方便。,5
32,公牛插排，大品牌，好质量。外型设计理念非常好，整洁美观，指示灯，点到为止，节能环保。导线截面达标，且柔软舒适。防尘罩宜插宜拔，使用方便。继续购买！,5
33,已经用上了，完美体验。这个是第二次买了，感觉公牛的不错，大的一个插板放的太远了，没有录进视频。赞,5
34,京东一流，服务超好，家里所有电器一直京东，没想到发过来是两个插座，大爱，比之前的好太多了，颜值担当,5
35,很喜欢 很实用 单控的插座最好了 材质很不错 活动买二减10买的 比超市便宜多了 买了不会后悔  有需要还会继续回购,5
36,新版升级版比老版设计，用料，做工好很多。产品描述与实物商品相符。推荐购买。618期间闲逛看到活动下的单。物有所值。速度一流，包装简陋。也不怕磕着碰着。,5
