,content,score
0,市场上好多都是假的   京东的 信得过,3
1,东西不错，不过看密封与绑丝像是有人动过。,3
2,不错，下次还在他们家买,3
3,好评吧，一直都是习惯好评,3
4,一个月就降价二士，东西还是不错的,3
5,品牌值得信任 京东物流快,3
6,质量还好没有送理线器！,3
7,大品牌质量不错，下次还会购买,3
8,不错不错，公牛值得信赖,3
9,性能不错，性价比可以还不错,3
10,挺不错的一次购物,3
11,在京东买到的最便宜的插排,3
12,公牛插板很好用,3
13,不错，性价比不高,3
14,分控的设计不错,3
15,快递超快 质量好 还会购买,3
16,质量很好 但是包装盒被压的够呛,3
17,今天刚收到，看着挺好的,3
18,很好用，蛮实惠的。,3
19,东西不错，很方便,3
20,公牛插盘，值得信赖的插线板专家,3
21,质量不错的，很好的,3
22,买一个送一个。很好。公牛的,3
23,插座是好用的，但说好的赠品没有,3
24,一如既往的喜欢。,3
25,可以可以蛮好用的,3
26,质量过关，值得拥有,3
27,应用率还是不错是 包装也还可以,3
28,第二次买 好好好,3
29,物流很快，质量好！,3
30,东东已经收到，插线板质量不错,3
31,东西是不错，我买完去超市，29.9，吐血,3
32,看起来很不错，希望知道信赖,3
33,非常好，希望一如既往地，领京豆！,3
34,速度就是快隔天到,3
35,看起来还不错哦,3
36,不错，物美价廉，好用好用。,3
37,相信公牛的质量,3
38,本来挺好的东西，被京东物流给整的一点都不痛快,3
39,感觉还不错，不知道能多久&hellip;,3
40,做工不错，价格略贵,3
41,东西还可以的，包装一般的，送货比较快,3
42,发货速度比较慢，产品质量可以,3
43,外观漂亮，送货快，京东物流快！,3
44,感觉质量还好，不知耐用不,3
45,还可以，目前还没出现问题,3
46,还可以，价格合适，质量好。,3
47,大品牌，值得信赖，郁闷的是买完第二天就降价了！,3
48,我在京东买的公牛插排我查了正品各位朋友放心购买,3
49,送货速度很快，包装被拆过一个插线板将就用吧,3
50,还行吧！感觉质量没实体店好,3
51,价格高了，回来感觉也没啥特别的功能,3
52,"质量感觉一般吧,外观不错",3
53,这个是可以接受的范围之内可以使用哦,3
54,公牛接线板质量很好，值得购买。,3
55,质量很不错。不过为毛我 58.9 才买到？,3
56,在用了，暂时没有问题，按键不错。,3
57,还行吧。送货挺快的，京东这点上还是不错的。,3
58,挺好的，很实用，物流送货也很快。,3
59,比松下便宜比飞利蒲好的国産好貨，用个十年,3
60,还可以，试了还行，能正常使用,3
61,开过包装的，心里不舒服，习惯好评！,3
62,这个性价比可以，可惜其他东西买的不划算，希望京东多上点心,3
63,两个插座，看起来价格还是很便宜的,3
64,还可以，用用就知道了，感觉还行,3
65,一直在京东自营买东西，太喜欢了，而且物流快，隔日就到！,3
66,我本来想买1个，没想到是买一送一的活动。挺可以的。,3
67,插座，我只用公牛，好品牌，好质量。,3
68,秒杀价格比较实惠，质量不清楚，还没用。,3
69,大品牌应该值得信赖，一个指示灯不亮。,3
70,不错，还可以，这个用起来间距还是小,3
71,不错，大品牌，值得信赖,3
72,已经已经装上了，看着不错，希望能用的长久。,3
73,好评,3
74,还没用，感觉还可以吧！,3
75,使用中 ，感觉不错。,3
76,好用,3
77,安全舒适,3
78,不错,3
79,东西收到了，查了一下是正品，不过好像放了好久，特别的旧。,3
80,好球贵，小功率。,3
81,要是再便宜点就好了，新国标的，分开控制电源，好评,3
82,物流很快,3
83,很好,3
84,习惯好评,3
85,还不错，质量还ok,3
86,东西不错，但是买的别的东西，加起来价位够包邮的了，结果这个还单算，收运费,3
87,还没用，看着还可以，包装像是打开过。快递打满分,3
88,本来感觉很值，结果后来买的又便宜了，这个还过了保价期，emmmmmm&hellip;&hellip;,3
89,还可以,3
90,还好,3
91,还可以，不错,3
92,挺好的,3
93,公牛插座可以,3
94,基本满意,3
95,还不错,3
96,质量挺好的。,3
97,品质应该可以,3
98,东西还不错,3
99,使用还可以,3
100,东西看起来还可以，同样时间买的为什么这个发货速度那么慢？？,3
101,到手后，觉得还是应该选大孔的更好些，如果选每个都带开关的就更方便。,3
102,插排可以，质量可以就是壳子有静电容易吸灰尘,3
103,非常满意。,3
104,产品挺长，还很白，有好多龙，可以插插头,3
105,不错不错 还行,3
106,插不上我家空调。。。。。但是很好看，手感很好,3
107,很好的插座 外观好看 质量也挺好的 可放心购买,3
108,东东收到，质量不错。一直使用，挺方便的，经常购买！差评给物流,3
109,感觉还不错，就是线不够长，跟公牛专卖店一样，方便好用,3
110,看着还可以，已经开始使用了，价格合适，还是可以吧。,3
111,还好  还行   可以可以     不错的   嗯   支持  支持,3
112,还行，一直相信品牌的。二手。东了。收到很明显的是使用的了。,3
